title,topic
 Announcing the Surrender of Germany,world war
 First Speech to Congress,miscelanous
 Fourth State of the Union Address,state of the union address
 Campaign speech in St Paul Minnesota,miscelanous
" Campaign speech in Indianapolis, Indiana.",native indians
 Campaign Speech in Madison Square Garden,miscelanous
 Statement on the National Economy,econ
 Statement Regarding Economic Recovery,econ
 Third State of the Union Address,state of the union address
 Message Regarding Unemployment Relief,econ
 Message on the Gold Standard,econ
 Statement on Foreign Debts,econ
 Veto Messages Regarding Emergency Adjusted Compensation Act,econ
 Statement on Unemployment Relief,econ
 Second State of the Union address.,state of the union address
 Address to the American Bankers’ Association.,econ
 Message Regarding London Naval Treaty,econ
 Message regarding the Smoot-Hawley Tariff Act,econ
 Message Regarding Law Enforcement,law and constitution
 Statement Regarding Business and Unemployment,econ
 First State of the Union Address,state of the union address
 Statement on the Economy,econ
 Message on the Economy,econ
 Message Regarding “Black Thursday”,econ
 Message Regarding International Peace,international relations
 Remarks Upon Proclaiming the Treaty for the Renunciation of War (Kellog-Briand Pact),econ
 Message Regarding the Farm Bill,econ
 Message on Resolutions of Virginia,the union
 Message on the Capture of the Wildfire,slavery
 Message on Threats to the Peace and Existence of the Union,the union
 Addendum to March 28 Message to Congress,miscelanous
 Veto Message Regarding Land-Grant Colleges,miscelanous
 Protest of Congressional Investigations,president authority
 Message to Congress Transmitting the Constitution of Kansas,civil war
" Message Regarding the Presence of Troops in Washington, DC",miscelanous
 Special Message Regarding Transit Across Central America,econ
 Message Regarding the Treaty of Guadalupe Hidalgo,econ
 Message Regarding War-time Measures,econ
 Message Regarding Slavery in the Territories,slavery
 Message Regarding Size of the Army,military
 Announcement of Peace Treaty with Mexico,econ
 Message Regarding the Oregon Territory,the union
 Message Regarding Establishment Of The French Republic,international relations
 Message Regarding Treaty Of Guadelupe Hidalgo,econ
 Message Regarding the War with Mexico,mexico war
 Request to Increase the Size of the Army,military
 Message Regarding Settlement with Mexico,mexico war
 Message Regarding Treaty with Cherokees,econ
 Message Requesting the Creation of an Oregon Territory,the union
 Veto Message Regarding Funding Internal Improvements,econ
 Message to Senate Regarding Oregon,the union
 Announcement of War with Mexico,mexico war
 War Message to Congress,mexico war
 Message Regarding Cherokee Indians,native indians
 Message Regarding Increase in Military Force,military
 Seventh Annual Message (Monroe Doctrine),annual message
 Eighth Annual Message,annual message
 Debate with Ronald Reagan,presidential debate
 Farewell Speech,farewell address
 Acceptance Speech at the Democratic National Convention,miscelanous
 Statement on the Iran Rescue Mission,iran
 Speech on Establishing Diplomatic Relations with China,international relations
 Anti-Inflation Program Speech,econ
" ""Crisis of Confidence"" Speech",miscelanous
 Address to the Nation on Energy,econ
 Statement on the Panama Canal Treaty Signing,econ
 University of Notre Dame Commencement,miscelanous
 Remarks at President Carter's Press Conference,miscelanous
 Speech on Afghanistan,international conflict
 President Carter's Remarks on Joint Statement at Camp David Summit,miscelanous
 Report to the American People on Energy,econ
 Proclamation of Pardons to Those Engaged in Fries Rebellion,rebellion
 Death of George Washington,eulogy
" Proclamation of Day of Fasting, Humiliation and Prayer",miscelanous
 Special Session Message to Congress (XYZ Affair),miscelanous
 Address at the Mormon Tabernacle,miscelanous
 Address to the UN General Assembly,united nation
 Address on the Nuclear Test Ban Treaty,econ
 Address on Civil Rights,human/civil rights
 American University Commencement,miscelanous
 Remarks at U.S. Air Force Academy,miscelanous
" ""Ich bin ein Berliner"" Speech",miscelanous
 90th Anniversary of Vanderbilt University,miscelanous
 Address on the Buildup of Arms in Cuba,cuba
 Address on the Situation at the University of Mississippi,race ethnicity relations
 Remarks at Amherst College,miscelanous
 Yale University Commencement,miscelanous
 Remarks at West Point,military
" Address at the University of California, Berkeley",miscelanous
 Remarks to a U.N. Delegation of Women,gender
 Address in Miami at the Opening of the AFL-CIO Convention,econ
 Address to the National Association of Manufacturers,econ
 University of Washington's 100th Anniversary,miscelanous
 Remarks at the Veterans Day Ceremony,military
 Address at the University of North Carolina,miscelanous
 Report on the Berlin Crisis,world war
 Remarks to the Graduating Class of the US Naval Academy,military
 Report to the American People on Returning from Europe,international relations
 The Goal of Sending a Man to the Moon,science
 Address before the Canadian Parliament,international relations
 Remarks at George Washington,miscelanous
" ""President and the Press"" Speech",soviet and communism
 Address to the American Association of Newspaper Editors,miscelanous
 Address to the Diplomatic Corps of Latin America,international relations
 Establishment of the Peace Corps,international relations
 Remarks on the Youth Fitness Program,miscelanous
 State of the Union,state of the union address
 Address on the Space Effort,science
 Argument before the Supreme Court in the Case of United States v. Cinque,race ethnicity relations
 Message Regarding the Congress of American Nations,international relations
 Message Regarding the Creek Indians,native indians
 Second Annual Address,annual message
 Message Regarding the Slave Trade,slavery
 Message Regarding US-Mexican Affairs,international relations
 Veto Message Regarding Infrastructure Improvements,econ
 Message Regarding Disturbances in Rhode Island,rebellion
 Message to Congress Regarding US-Hawaiian Relations,race ethnicity relations
 Message Regarding Treaty with Texas,econ
 Message to Senate on Negotiations with Britain,international relations
 Veto Message Regarding Import Duties,econ
 Message Regarding Indian Affairs in Florida,native indians
 Message Regarding Finances and Fiscal Policy,econ
 Veto Message on the Creation of a Fiscal Corporation,econ
 Veto Message Regarding the Bank of the United States,econ
 Special Session Message to Congress Regarding General Affairs of the Country,miscelanous
 Address Upon Assuming the Office of President of the United States,miscelanous
 Remarks on the Cessation of Bombing of North Vietnam,vietnam war
 Remarks on Signing the Nuclear Nonproliferation Treaty,econ
 Address to the National Association of Broadcasters,miscelanous
 Remarks on Decision not to Seek Re-Election,election
 A Conversation with President Lyndon Johnson,miscelanous
 Speech on Vietnam,vietnam war
 Speech to the Nation on Civil Disorders,violence
" Address After Ordering Federal Troops to Detroit, Michigan",violence
 Address on Vietnam to the Tennessee General Assembly,vietnam war
 Remarks on Departing for the Asia-Pacific Trip,miscelanous
 Remarks on the Creation of the Department of Transportation,econ
 Press Conference in the East Room,miscelanous
 Speech on U.S. Foreign Policy in Asia,international relations
 Press Conference at the LBJ Ranch,miscelanous
" Remarks in Omaha, Nebraska",miscelanous
 Speech Before the Foreign Institute,international relations
 Remarks on Receiving the National Freedom Award,miscelanous
 Statement on the Resumption of Bombing in North Vietnam,vietnam war
 Press Conference at the White House,miscelanous
 Remarks on the Signing of the Voting Rights Act,human/civil rights
 Remarks on the 20th Anniversary of the U.N. Charter,miscelanous
 Remarks at the Manned Space Flight Center,science
 Remarks at the Howard University Commencement,miscelanous
 Speech to the Association of American Editorial Cartoonists,miscelanous
 Report on the Situation in the Dominican Republic,international conflict
 Statement on Sending Troops to the Dominican Republic,international conflict
 Address at Johns Hopkins University,miscelanous
 Remarks at a Reception for Astronauts Grissom and Young,science
 Statement on Arrests in Violo Liuzzo Murder,violence
 Speech Before Congress on Voting Rights,human/civil rights
 Report to the Nation on Events in China and the USSR,soviet and communism
" Speech at the Jung Hotel, New Orleans",miscelanous
 Remarks on Vietnam at Syracuse University,vietnam war
 Report on the Gulf of Tonkin Incident,vietnam war
 Press Conference at the State Department,miscelanous
 Remarks upon Signing the Civil Rights Bill,human/civil rights
 Remarks at the University of Michigan,miscelanous
 Press Conference on the South Lawn,miscelanous
 Speech to the Associated Press Luncheon,miscelanous
 Remarks at the Ninety Sixth Charter Day Observances,miscelanous
 Address to the U.N. General Assembly,united nation
 Thanksgiving Message,miscelanous
 Remarks on Signing the Civil Rights Act,human/civil rights
 Message Regarding Disturbances and Hostilities on the Canadian Border,international relations
 Message Regarding Disputes on the Maine-Canadian Border,international conflict
 Special Message about the Desctruction of Steamboat “Caroline”,miscelanous
 Message Regarding Disturbance in Boston,military misconduct
 Message Regarding Agreement with Texas,the union
 Announcement of Texas’ Acceptance of Compromise Propositions,the union
 Message Regarding Compromise with Texas,the union
 Remarks on Departure From the White House,miscelanous
 Address to the Nation Announcing Decision To Resign the Office of President,president authority
 Address to the Nation on Presidential Tape Recordings,president authority
 Address to the Nation About the Watergate Investigations,president authority
 The President's News Conference,miscelanous
 Remarks on Being Reelected to the Presidency,election
 Remarks on Election Eve,election
 Address to the Nation on the Situation in Southeast Asia,international conflict
 Address to the Nation on Plan for Peace in Vietnam,vietnam war
 Remarks Announcing an Agreement on Strategic Arms Limitation Talks,international relations
 Radio Address About Second Annual Foreign Policy Report to the Congress,international relations
 Address to the Nation Announcing an Agreement on Ending the War in Vietnam,vietnam war
 Address to the Nation on the War in Vietnam,vietnam war
 Remarks at the Veteran's Day Ceremony,military
 Speech on Foreign Policy,international relations
 Farewell Address at the Republican National Convention,farewell address
 Address at Moscow State University,miscelanous
 Address to the Nation on the Soviet-U.S. Summit Meeting,soviet and communism
 Remarks at the Signing of the INF Treaty with Soviet Premier Gorbachev,soviet and communism
 Address from the Brandenburg Gate (Berlin Wall),world war
 Address to the Nation on Iran-Contra,iran
 Remarks on Signing the Tax Reform Act,econ
 Address on the Meetings with Soviet Premier Gorbachev,soviet and communism
 Speech to the Nation on the Campaign Against Drug Abuse,healthcare
 Speech to the Nation on Air Strikes Against Libya,international conflict
" Address on the Space Shuttle ""Challenger""",science
 Speech on the Geneva Summit,international conflict
 Bergen-Belsen Concentration Camp,world war
 Debate with Walter Mondale (Defense and Foreign Policy),presidential debate
 Debate with Walter Mondale (Domestic Issues),presidential debate
 40th Anniversary of D-Day,world war
" Remarks to the Citizens of Ballyporeen, Ireland",miscelanous
 Remarks Honoring the Vietnam War’s Unknown Soldier,vietnam war
 Address Announcing His Candidacy for Reelection,election
 Remarks on U.S. Casualties in Lebanon and Grenada,international conflict
" Speech on the Creation of the Martin Luther King, Jr., National Holiday",race ethnicity relations
 Speech to the Nation on Lebanon and Grenada,international conflict
 Speech on the Soviet Attack on a Korean Airliner,soviet and communism
 Address on Central America,international relations
 Address to the Nation on National Security,nation security
" ""Evil Empire"" Speech",soviet and communism
 Speech at the Conservative Political Action Conference,miscelanous
 Address to the Nation on Lebanon,international conflict
 Speech to the Nation on U.S. Policy in the Middle East,international relations
 Address on Tax and Budget Legislation,econ
 Speech to the United Nations General Assembly,united nation
 Address to the Bundestag in West Germany,world war
 Address to the Nation on Christmas and the Situation in Poland,world war
 Speech on the Strategic Arms Reduction Talks,soviet and communism
 Remarks on the Air Traffic Controllers Strike,econ
 Address on Federal Tax Reduction Legislation,econ
 Speech to the NAACP Annual Convention,race ethnicity relations
 Address at University of Notre Dame,miscelanous
 Address on the Program for Economic Recovery,econ
 First Press Conference,miscelanous
 Veto Message Regarding Economic Legislation,econ
 Veto Message Regarding Military Legislation,military
 Veto Messages Regarding Appropriations Legislation,military
 Message Regarding Election Regulations,election
 Veto of Army Appropriations Bill,military
 Proclamation Regarding Indian Territory,native indians
 Veto of Bland-Allison Act,econ
 Message Regarding Railroad Strike,econ
 Prohibition of Federal Employees’ Political Involvement,law and constitution
 Message Regarding Labor Legislation,econ
 Seventh Annual Message,annual message
 Message Regarding Disturbances in Texas,military misconduct
 Message Regarding Conditions in Panama,miscelanous
 Message Regarding the State of Puerto Rico,international conflict
 Message Regarding Meatpacking Plants,econ
 Message Regarding Panama Canal,econ
 Proclamation Declaring US Neutrality,world war
 Message Regarding Treaty with Panama,econ
 Message Regarding the Panamanian Revolution,international conflict
 Message Regarding US-Cuban Commercial Convention,econ
 Message Convening a Special Session of Congress,miscelanous
 Message Regarding US-Cuban Relations,international relations
 Announcement of the Death of President McKinley,eulogy
 Message to the Inhabitants of Albemarle County,miscelanous
 Proclamation in Response to the Chesapeake Affair,international relations
 Special Message to Congress on the Gun Boats,military
 Special Message to Congress on the Burr Conspiracy,miscelanous
 Address to the Wolf and the People of the Mandan Nation,native indians
 Proclamation on Spanish Territory,world war
 Address to the Chiefs of the Cherokee Nation,native indians
 Special Message to Congress on Foreign Policy,international relations
 Address to the Brothers of Choctaw Nation,native indians
 Instructions to Captain Lewis,miscelanous
 Special Message to Congress on Indian Policy,native indians
 Address to Brother Handsome Lake,miscelanous
 Response to Danbury Baptist Association,miscelanous
 The Reply to New Haven Remonstrance,miscelanous
 Message Regarding Presidential Election,election
 Proclamation Celebrating the Hundredth Anniversary of Independence,miscelanous
 Message on Presidential Powers and Obligations,president authority
 Veto of Legislation Fixing the Presidential Salary,president authority
 Message Approving Specie Resumption Act,econ
 Message Regarding Intervention in Louisiana,the union
 Proclamation Regarding Disturbances in Louisiana,rebellion
 Veto Message on Monetary Legislation,econ
 Message on Civil Service Reform,econ
 Proclamation Suspending Habeas Corpus,human/civil rights
 Message Regarding Fourteenth Amendment,law and constitution
 Veto Message Regarding Restrictions on Rebellion Participants,rebellion
 Message Regarding Unification of Germany,world war
 Proclamation Establishing US Neutrality,world war
 Message Regarding US International Relations,international relations
 Message Regarding Insurrection in Cuba,cuba
 Message Regarding Dominican Republic Annexation,international conflict
 Proclamation Regarding Fenian Brotherhood,international conflict
 Announcement of Fifteenth Amendment Ratification,race ethnicity relations
 Proclamation Establishing Eight Hour Workday,miscelanous
 Message Submitting State Constitutions to a Vote,law and constitution
 Message Regarding Virginia Constitution,the union
 Opening Speech of the Conference on Limitation of Armament,international relations
 Speech Upon Arrival of World War One Dead for Burial,world war
 Nationalism and Americanism,miscelanous
" Speech in Buffalo, New York",miscelanous
 Proclamation Calling for Military Volunteers,military
 Proclamation Regarding Blockade of Cuba,cuba
 Message Regarding Cuban Civil War,cuba
 Message Regarding Banking and Currency Laws,econ
 Message Regarding Relief of Americans in Cuba,cuba
 Message Regarding Special Session of Congress,miscelanous
 Message Regarding US-Canadian Relations,international relations
 Message Regarding Environmental Preservation,environment
 Message Regarding Economic Legislation,econ
 Address on the Tariff Law of 1909,econ
 Message Regarding Income Tax,econ
 Message Regarding Tariff Legislation,econ
" Wilson's ""Fourteen Points""",miscelanous
 Message Regarding Military Draft,military
 Message Regarding World War I,world war
 Proclamation 1364,international conflict
 Address to Congress Requesting a Declaration of War Against Germany,world war
 Message Regarding Safety of Merchant Ships,econ
 Message Regarding US-German Relations,international relations
" ""A World League for Peace"" Speech",world war
 Message Regarding Women’s Suffrage,gender
 Speech of Acceptance,miscelanous
 Message Regarding German Actions,world war
 Veto of Immigration Legislation,immigration
" ""The Opinion of the World"" Speech",miscelanous
 Message on Neutrality,world war
 Fourth of July Address,miscelanous
 Memorial Day Address,miscelanous
 Message Regarding Tampico Incident,mexico war
 Address to a Joint Session of Congress on Trusts and Monopolies,miscelanous
" Address at Congress Hall, Philadelphia",miscelanous
 Address at Gettysburg,civil war
 Message Regarding Banking System,econ
 Message Regarding Tariff Duties,econ
 Message Regarding Treaty with Great Britain,econ
 Message Regarding Newly Acquired Territories,the union
